S-10B Google 0 0.4043 S:29, I:2, D:45
S-10B Kaldi 0 0.234 S:20, I:2, D:22
S-10B Google 1 0.3645 S:49, I:5, D:63
S-10B Kaldi 1 0.2212 S:32, I:3, D:36
S-10B Google 2 0.2924 S:48, I:4, D:48
S-10B Kaldi 2 0.1988 S:35, I:7, D:26
S-10B Google 3 0.295 S:43, I:4, D:48
S-10B Kaldi 3 0.2267 S:41, I:5, D:27
S-10B Google 4 0.3213 S:72, I:4, D:84
S-10B Kaldi 4 0.2048 S:49, I:4, D:49
S-10B Google 5 0.2604 S:59, I:10, D:56
S-10B Kaldi 5 0.1604 S:43, I:15, D:19
S-10B Google 6 0.2781 S:27, I:0, D:20
S-10B Kaldi 6 0.1834 S:12, I:2, D:17
S-10B Google 7 0.319 S:43, I:3, D:43
S-10B Kaldi 7 0.2366 S:22, I:1, D:43
S-10B Google 8 0.2731 S:49, I:2, D:23
S-10B Kaldi 8 0.1697 S:25, I:6, D:15
S-21A Google 0 0.6486 S:76, I:0, D:103
S-21A Kaldi 0 0.4638 S:77, I:2, D:49
S-21A Google 1 0.5748 S:66, I:1, D:102
S-21A Kaldi 1 0.3912 S:63, I:5, D:47
S-21A Google 2 0.6066 S:46, I:1, D:81
S-21A Kaldi 2 0.3744 S:42, I:7, D:30
S-21A Google 3 0.6052 S:129, I:2, D:151
S-21A Kaldi 3 0.3734 S:95, I:5, D:74
S-21A Google 4 0.6252 S:143, I:7, D:192
S-21A Kaldi 4 0.4351 S:118, I:14, D:106
S-21A Google 5 0.6339 S:76, I:5, D:106
S-21A Kaldi 5 0.4169 S:58, I:3, D:62
S-21A Google 6 0.5625 S:22, I:0, D:41
S-21A Kaldi 6 0.4018 S:18, I:0, D:27
S-21A Google 7 0.5476 S:9, I:0, D:14
S-21A Kaldi 7 0.3095 S:8, I:0, D:5
S-21A Google 8 0.4318 S:7, I:0, D:12
S-21A Kaldi 8 0.25 S:6, I:2, D:3
S-21A Google 9 0.6735 S:13, I:0, D:20
S-21A Kaldi 9 0.4694 S:10, I:0, D:13
S-21A Google 10 0.4694 S:44, I:0, D:48
S-21A Kaldi 10 0.2857 S:26, I:2, D:28
S-21A Google 11 0.6237 S:46, I:0, D:75
S-21A Kaldi 11 0.4588 S:41, I:1, D:47
S-7C Google 0 0.3155 S:112, I:10, D:96
S-7C Kaldi 0 0.2156 S:95, I:11, D:43
S-7C Google 1 0.3682 S:108, I:7, D:61
S-7C Kaldi 1 0.2427 S:78, I:20, D:18
S-7C Google 2 0.3021 S:76, I:7, D:88
S-7C Kaldi 2 0.2191 S:75, I:17, D:32
S-7C Google 3 0.4092 S:108, I:8, D:141
S-7C Kaldi 3 0.2803 S:92, I:7, D:77
S-7C Google 4 0.3527 S:77, I:3, D:78
S-7C Kaldi 4 0.2522 S:65, I:12, D:36
S-7C Google 5 0.3703 S:109, I:4, D:131
S-7C Kaldi 5 0.2473 S:95, I:13, D:55
S-19C Google 0 0.5551 S:63, I:2, D:61
S-19C Kaldi 0 0.3965 S:50, I:15, D:25
S-19C Google 1 0.6505 S:10, I:0, D:57
S-19C Kaldi 1 0.5146 S:33, I:2, D:18
S-19C Google 2 0.4768 S:53, I:4, D:56
S-19C Kaldi 2 0.2869 S:34, I:9, D:25
S-19C Google 3 0.5912 S:33, I:2, D:46
S-19C Kaldi 3 0.4599 S:35, I:5, D:23
S-19C Google 4 0.5226 S:72, I:4, D:74
S-19C Kaldi 4 0.324 S:55, I:2, D:36
S-19C Google 5 0.5676 S:43, I:2, D:60
S-19C Kaldi 5 0.4541 S:44, I:7, D:33
S-19C Google 6 0.4434 S:22, I:1, D:24
S-19C Kaldi 6 0.3868 S:21, I:7, D:13
S-19C Google 7 0.3867 S:13, I:3, D:13
S-19C Kaldi 7 0.3333 S:19, I:3, D:3
S-19C Google 8 0.3108 S:11, I:0, D:12
S-19C Kaldi 8 0.2162 S:11, I:0, D:5
S-19C Google 9 0.5 S:15, I:1, D:29
S-19C Kaldi 9 0.4 S:18, I:0, D:18
S-19C Google 10 0.3889 S:4, I:1, D:9
S-19C Kaldi 10 0.1667 S:2, I:2, D:2
S-19C Google 11 0.5857 S:18, I:1, D:22
S-19C Kaldi 11 0.5571 S:25, I:2, D:12
S-27C Google 0 0.3967 S:68, I:0, D:99
S-27C Kaldi 0 0.2233 S:50, I:7, D:37
S-27C Google 1 0.2887 S:32, I:2, D:63
S-27C Kaldi 1 0.1667 S:27, I:9, D:20
S-27C Google 2 0.374 S:37, I:4, D:97
S-27C Kaldi 2 0.1599 S:37, I:6, D:16
S-27C Google 3 0.3534 S:52, I:9, D:109
S-27C Kaldi 3 0.1892 S:45, I:12, D:34
S-27C Google 4 0.3498 S:88, I:7, D:146
S-27C Kaldi 4 0.1611 S:53, I:9, D:49
S-27C Google 5 0.3288 S:129, I:8, D:199
S-27C Kaldi 5 0.2133 S:125, I:13, D:80
S-27C Google 6 0.3772 S:18, I:1, D:44
S-27C Kaldi 6 0.2096 S:14, I:4, D:17
S-27C Google 7 0.2581 S:5, I:0, D:11
S-27C Kaldi 7 0.1452 S:5, I:0, D:4
S-27C Google 8 0.4615 S:20, I:0, D:28
S-27C Kaldi 8 0.2788 S:18, I:3, D:8
S-27C Google 9 0.3306 S:9, I:3, D:28
S-27C Kaldi 9 0.1983 S:13, I:3, D:8
S-27C Google 10 0.4423 S:7, I:0, D:16
S-27C Kaldi 10 0.3269 S:8, I:1, D:8
S-27C Google 11 0.4364 S:15, I:1, D:32
S-27C Kaldi 11 0.2545 S:12, I:0, D:16
S-23C Google 0 0.3103 S:27, I:0, D:27
S-23C Kaldi 0 0.1954 S:24, I:2, D:8
S-23C Google 1 0.4554 S:50, I:2, D:45
S-23C Kaldi 1 0.3239 S:43, I:5, D:21
S-23C Google 2 0.4197 S:38, I:8, D:35
S-23C Kaldi 2 0.3316 S:28, I:15, D:21
S-23C Google 3 0.5584 S:69, I:1, D:59
S-23C Kaldi 3 0.4242 S:68, I:7, D:23
S-23C Google 4 0.4609 S:90, I:4, D:142
S-23C Kaldi 4 0.2871 S:74, I:11, D:62
S-23C Google 5 0.3442 S:38, I:1, D:67
S-23C Kaldi 5 0.2143 S:33, I:6, D:27
S-23C Google 6 0.3478 S:2, I:1, D:13
S-23C Kaldi 6 0.1522 S:5, I:0, D:2
S-23C Google 7 0.2987 S:16, I:0, D:7
S-23C Kaldi 7 0.1688 S:8, I:1, D:4
S-23C Google 8 0.3438 S:13, I:1, D:19
S-23C Kaldi 8 0.3021 S:15, I:5, D:9
S-23C Google 9 0.3 S:7, I:0, D:2
S-23C Kaldi 9 0.2667 S:4, I:3, D:1
S-23C Google 10 0.6346 S:14, I:0, D:19
S-23C Kaldi 10 0.25 S:11, I:0, D:2
S-23C Google 11 0.4167 S:31, I:1, D:33
S-23C Kaldi 11 0.2115 S:18, I:4, D:11
S-6B Google 0 0.5584 S:42, I:2, D:42
S-6B Kaldi 0 0.4286 S:43, I:6, D:17
S-6B Google 1 0.4344 S:43, I:1, D:52
S-6B Kaldi 1 0.3258 S:44, I:8, D:20
S-6B Google 2 0.3067 S:52, I:1, D:43
S-6B Kaldi 2 0.1502 S:26, I:1, D:20
S-6B Google 3 0.3971 S:42, I:1, D:40
S-6B Kaldi 3 0.2392 S:31, I:6, D:13
S-6B Google 4 0.2759 S:57, I:7, D:61
S-6B Kaldi 4 0.1656 S:40, I:10, D:25
S-6B Google 5 0.2706 S:65, I:6, D:70
S-6B Kaldi 5 0.1056 S:25, I:8, D:22
S-5A Google 0 0.5332 S:105, I:2, D:150
S-5A Kaldi 0 0.3506 S:108, I:14, D:47
S-5A Google 1 0.4858 S:46, I:2, D:72
S-5A Kaldi 1 0.2996 S:44, I:5, D:25
S-5A Google 2 0.4397 S:131, I:9, D:170
S-5A Kaldi 2 0.2965 S:110, I:23, D:76
S-5A Google 3 0.4105 S:61, I:2, D:86
S-5A Kaldi 3 0.2342 S:52, I:6, D:27
S-5A Google 4 0.4086 S:53, I:4, D:86
S-5A Kaldi 4 0.2371 S:44, I:8, D:31
S-5A Google 5 0.4774 S:118, I:3, D:122
S-5A Kaldi 5 0.277 S:79, I:9, D:53
S-11C Google 0 0.2723 S:19, I:3, D:33
S-11C Kaldi 0 0.1782 S:23, I:6, D:7
S-11C Google 1 0.3964 S:18, I:0, D:49
S-11C Kaldi 1 0.2308 S:24, I:2, D:13
S-11C Google 2 0.2714 S:57, I:2, D:49
S-11C Kaldi 2 0.1859 S:43, I:7, D:24
S-11C Google 3 0.2675 S:36, I:0, D:75
S-11C Kaldi 3 0.1904 S:41, I:6, D:32
S-11C Google 4 0.225 S:69, I:5, D:61
S-11C Kaldi 4 0.1033 S:34, I:3, D:25
S-11C Google 5 0.2245 S:58, I:2, D:63
S-11C Kaldi 5 0.1077 S:27, I:7, D:25
S-11C Google 6 0.2952 S:31, I:1, D:35
S-11C Kaldi 6 0.1982 S:21, I:6, D:18
S-11C Google 7 0.2545 S:38, I:1, D:31
S-11C Kaldi 7 0.1273 S:20, I:2, D:13
S-11C Google 8 0.2477 S:13, I:1, D:13
S-11C Kaldi 8 0.1743 S:9, I:6, D:4
S-16D Google 0 0.2651 S:47, I:1, D:40
S-16D Kaldi 0 0.2139 S:47, I:8, D:16
S-16D Google 1 0.2156 S:44, I:2, D:67
S-16D Kaldi 1 0.1851 S:59, I:8, D:30
S-16D Google 2 0.269 S:28, I:1, D:56
S-16D Kaldi 2 0.2278 S:47, I:8, D:17
S-16D Google 3 0.2101 S:45, I:4, D:59
S-16D Kaldi 3 0.1556 S:50, I:12, D:18
S-16D Google 4 0.2518 S:36, I:4, D:67
S-16D Kaldi 4 0.1694 S:51, I:2, D:19
S-16D Google 5 0.2468 S:28, I:3, D:47
S-16D Kaldi 5 0.2184 S:51, I:8, D:10
S-16D Google 6 0.3846 S:16, I:0, D:34
S-16D Kaldi 6 0.3308 S:24, I:8, D:11
S-16D Google 7 0.3065 S:6, I:2, D:11
S-16D Kaldi 7 0.2581 S:13, I:2, D:1
S-16D Google 8 0.25 S:14, I:0, D:21
S-16D Kaldi 8 0.1714 S:16, I:1, D:7
S-16D Google 9 0.3429 S:1, I:0, D:11
S-16D Kaldi 9 0.3714 S:10, I:1, D:2
S-16D Google 10 0.3409 S:7, I:2, D:6
S-16D Kaldi 10 0.2273 S:8, I:1, D:1
S-16D Google 11 0.2069 S:4, I:0, D:14
S-16D Kaldi 11 0.2184 S:11, I:7, D:1
S-16D Google 12 0.2449 S:3, I:0, D:9
S-16D Kaldi 12 0.2653 S:9, I:4, D:0
S-20D Google 0 0.518 S:61, I:3, D:80
S-20D Kaldi 0 0.3849 S:64, I:8, D:35
S-20D Google 1 0.4177 S:68, I:5, D:64
S-20D Kaldi 1 0.2591 S:48, I:5, D:32
S-20D Google 2 0.4613 S:54, I:1, D:100
S-20D Kaldi 2 0.3185 S:67, I:4, D:36
S-20D Google 3 0.4142 S:44, I:3, D:52
S-20D Kaldi 3 0.3808 S:59, I:2, D:30
S-20D Google 4 0.3718 S:142, I:15, D:133
S-20D Kaldi 4 0.2731 S:142, I:22, D:49
S-20D Google 5 0.3932 S:74, I:5, D:94
S-20D Kaldi 5 0.2818 S:78, I:12, D:34
S-20D Google 6 0.7442 S:4, I:0, D:28
S-20D Kaldi 6 0.7209 S:20, I:1, D:10
S-20D Google 7 0.6538 S:16, I:0, D:18
S-20D Kaldi 7 0.5192 S:22, I:2, D:3
S-20D Google 8 0.4 S:6, I:0, D:4
S-20D Kaldi 8 0.28 S:4, I:0, D:3
S-20D Google 9 0.4368 S:21, I:3, D:14
S-20D Kaldi 9 0.5057 S:23, I:12, D:9
S-20D Google 10 0.5 S:28, I:2, D:26
S-20D Kaldi 10 0.4375 S:31, I:6, D:12
S-20D Google 11 0.4875 S:26, I:1, D:12
S-20D Kaldi 11 0.3875 S:21, I:4, D:6
S-29A Google 0 0.2957 S:26, I:3, D:47
S-29A Kaldi 0 0.1556 S:23, I:3, D:14
S-29A Google 1 0.2953 S:28, I:1, D:59
S-29A Kaldi 1 0.1913 S:29, I:5, D:23
S-29A Google 2 0.3782 S:19, I:0, D:99
S-29A Kaldi 2 0.1603 S:19, I:2, D:29
S-29A Google 3 0.3079 S:30, I:3, D:68
S-29A Kaldi 3 0.1738 S:26, I:2, D:29
S-29A Google 4 0.3112 S:38, I:7, D:124
S-29A Kaldi 4 0.1805 S:41, I:16, D:41
S-29A Google 5 0.258 S:23, I:1, D:49
S-29A Kaldi 5 0.1272 S:15, I:2, D:19
S-29A Google 6 0.275 S:0, I:0, D:11
S-29A Kaldi 6 0.175 S:3, I:0, D:4
S-29A Google 7 0.25 S:6, I:1, D:16
S-29A Kaldi 7 0.2174 S:12, I:2, D:6
S-29A Google 8 0.175 S:4, I:0, D:10
S-29A Kaldi 8 0.1625 S:7, I:3, D:3
S-29A Google 9 0.4444 S:9, I:1, D:10
S-29A Kaldi 9 0.1778 S:3, I:0, D:5
S-29A Google 10 0.2973 S:8, I:1, D:13
S-29A Kaldi 10 0.2027 S:8, I:1, D:6
S-29A Google 11 0.2364 S:2, I:0, D:11
S-29A Kaldi 11 0.3455 S:9, I:1, D:9
S-14B Google 0 0.4317 S:63, I:2, D:93
S-14B Kaldi 0 0.3005 S:61, I:15, D:34
S-14B Google 1 0.4213 S:63, I:4, D:91
S-14B Kaldi 1 0.3093 S:60, I:9, D:47
S-14B Google 2 0.3971 S:68, I:6, D:63
S-14B Kaldi 2 0.2783 S:54, I:8, D:34
S-14B Google 3 0.5232 S:36, I:1, D:42
S-14B Kaldi 3 0.404 S:42, I:5, D:14
S-14B Google 4 0.4431 S:62, I:5, D:85
S-14B Kaldi 4 0.2799 S:52, I:11, D:33
S-14B Google 5 0.3434 S:72, I:7, D:91
S-14B Kaldi 5 0.2283 S:61, I:10, D:42
S-14B Google 6 0.4133 S:7, I:1, D:23
S-14B Kaldi 6 0.24 S:12, I:0, D:6
S-14B Google 7 0.32 S:8, I:1, D:23
S-14B Kaldi 7 0.35 S:20, I:4, D:11
S-14B Google 8 0.2778 S:3, I:0, D:7
S-14B Kaldi 8 0.2222 S:4, I:0, D:4
S-32D Google 0 0.511 S:46, I:11, D:82
S-32D Kaldi 0 0.4191 S:47, I:27, D:40
S-32D Google 1 0.3982 S:33, I:2, D:98
S-32D Kaldi 1 0.2515 S:38, I:5, D:41
S-32D Google 2 0.5036 S:43, I:1, D:96
S-32D Kaldi 2 0.3993 S:51, I:8, D:52
S-32D Google 3 0.4262 S:26, I:0, D:104
S-32D Kaldi 3 0.1967 S:27, I:3, D:30
S-32D Google 4 0.5682 S:32, I:1, D:142
S-32D Kaldi 4 0.2825 S:37, I:8, D:42
S-32D Google 5 0.3944 S:26, I:1, D:72
S-32D Kaldi 5 0.2271 S:26, I:3, D:28
S-32D Google 6 0.5647 S:11, I:1, D:36
S-32D Kaldi 6 0.3412 S:9, I:0, D:20
S-32D Google 7 0.4957 S:18, I:0, D:40
S-32D Kaldi 7 0.2906 S:11, I:0, D:23
S-32D Google 8 0.4103 S:4, I:0, D:12
S-32D Kaldi 8 0.2564 S:4, I:1, D:5
S-32D Google 9 0.3889 S:27, I:1, D:42
S-32D Kaldi 9 0.3056 S:27, I:3, D:25
S-32D Google 10 0.6 S:2, I:1, D:9
S-32D Kaldi 10 0.3 S:4, I:1, D:1
S-32D Google 11 0.4571 S:12, I:8, D:12
S-32D Kaldi 11 0.2429 S:4, I:7, D:6
S-22B Google 0 0.4346 S:36, I:2, D:65
S-22B Kaldi 0 0.2532 S:36, I:5, D:19
S-22B Google 1 0.3465 S:33, I:3, D:52
S-22B Kaldi 1 0.2205 S:34, I:10, D:12
S-22B Google 2 0.3813 S:104, I:8, D:116
S-22B Kaldi 2 0.2207 S:82, I:21, D:29
S-22B Google 3 0.375 S:32, I:1, D:66
S-22B Kaldi 3 0.1856 S:30, I:6, D:13
S-22B Google 4 0.4401 S:53, I:1, D:104
S-22B Kaldi 4 0.2451 S:40, I:7, D:41
S-22B Google 5 0.3954 S:49, I:5, D:101
S-22B Kaldi 5 0.1939 S:44, I:13, D:19
S-22B Google 6 0.4324 S:7, I:0, D:9
S-22B Kaldi 6 0.2432 S:4, I:0, D:5
S-22B Google 7 0.2692 S:22, I:2, D:25
S-22B Kaldi 7 0.1758 S:21, I:1, D:10
S-22B Google 8 0.364 S:33, I:1, D:57
S-22B Kaldi 8 0.18 S:27, I:1, D:17
S-22B Google 9 0.2549 S:2, I:0, D:11
S-22B Kaldi 9 0.1176 S:3, I:0, D:3
S-22B Google 10 0.3005 S:33, I:2, D:29
S-22B Kaldi 10 0.1972 S:30, I:3, D:9
S-22B Google 11 0.3945 S:41, I:3, D:42
S-22B Kaldi 11 0.2018 S:27, I:7, D:10
S-4D Google 0 0.5604 S:116, I:11, D:193
S-4D Kaldi 0 0.4151 S:134, I:17, D:86
S-4D Google 1 0.5826 S:113, I:2, D:167
S-4D Kaldi 1 0.4174 S:120, I:12, D:70
S-4D Google 2 0.5424 S:78, I:1, D:113
